32|16|29|41|36|9|7
13|50|47|7|39|2|5
37|19|18|14|31|5|4
39|37|4|7|33|5|1
44|47|15|28|24|4|5
42|45|33|37|36|9|4
23|43|3|4|10|2|4
4|24|12|36|27|2|9
23|19|10|1|4|2|8
28|40|14|15|35|3|1
45|21|6|49|10|5|3
27|16|6|5|23|7|6
38|36|15|16|21|1|5
32|3|1|39|21|2|6
37|39|29|15|49|4|9
41|44|6|35|11|6|5
41|42|34|13|9|7|3
7|2|47|10|8|1|7
28|2|40|23|43|6|2
30|21|35|3|34|1|2
4|28|24|23|34|1|3
44|19|5|12|2|8|9
26|50|31|24|38|8|5
10|27|7|34|31|8|3
50|10|9|19|37|6|1
5|35|44|15|24|6|5
27|20|41|43|50|8|5
27|10|35|9|6|6|8
28|1|44|22|11|1|9
14|12|15|34|8|7|6
5|38|36|25|33|5|2
41|39|15|18|29|8|5
48|21|26|27|44|1|7
48|20|45|21|12|6|5
12|10|48|1|16|2|6
37|21|14|43|22|5|8
9|25|1|40|23|3|9
32|1|38|35|8|9|4
25|42|49|19|6|1|7
12|13|4|32|11|9|3
37|29|34|18|1|6|2
24|1|34|4|36|8|6
15|42|11|1|49|4|3
3|13|43|1|16|7|2
49|22|19|15|46|9|2
3|27|29|4|37|6|5
8|7|47|25|24|8|9
50|27|47|3|23|3|2
11|14|29|6|19|3|1
12|14|10|26|24|8|5
26|21|7|43|45|5|7
11|1|40|30|8|7|8
11|13|25|32|50|7|4
32|46|20|21|26|8|9
43|3|27|44|30|8|4
12|32|37|39|24|7|9
40|12|43|23|8|1|4
48|39|23|6|43|5|7
29|33|38|4|37|9|6
26|44|47|25|41|3|7
31|50|25|11|7|3|1
6|31|42|38|28|9|3
13|10|24|47|3|9|5
42|35|9|3|39|1|8
44|21|12|7|26|6|8
12|40|31|17|32|9|2
28|6|47|7|13|8|5
50|48|31|2|24|9|4
8|11|3|17|50|5|1
37|32|47|7|6|7|1
8|4|10|21|18|7|1
6|15|8|14|45|7|8
23|28|5|4|25|3|4
42|46|36|35|49|8|2
42|23|1|11|12|6|3
49|14|41|3|48|1|4
50|3|19|49|26|5|4
21|11|2|22|30|4|6
